as-set,descr,members,mnt-by,last-modified,source,AS_count,cone,class
as-set-link,de-cixbarcelona,"as-konnektikaru,as211366,as61230",link-mnt,11-12-2021,ripe,3,5,0
as-mobitex,asnumbersannouncedbymobitex,as57897,dcenter-mnt,09-12-2016,ripe,1,1,1
as-active-fibre,asannouncementsfromaf,as328068,mnt-as328068,22-09-2022,ripe,1,1,0
as-swcmcustomers,"legacyobject,pleaseuseas3303:as-swcmcustomers","as3303,as-swcmcustomers",ch-unisource-mnt,21-02-2023,ripe,2,1,1
as-60139,customerswithsever-telecomglobalaccess,"as60139,as50736,as197780,as48180",sever-telecom,06-05-2019,ripe,4,4,0
as5408:as-grnet-special-as,specialasesbehinggrnet,"as65099,as65052,as112,as112,ast",grnet-noc,28-02-2008,ripe,5,3,1
as-mclaut,mclautispcherkassyukraine,"as25133,as199168,as6846,as44664,as206975",mclaut-isp-mnt,17-03-2020,ripe,5,5,0
as-energieag-ipv6,energieagoberoesterreichdatagmbh,"as56672,as60312",energieag-mnt,20-02-2017,ripe,2,2,0
as-asperiq,skylinetelecomclientsforexporttodtel-ix,as39910,asperiq-mnt,04-12-2020,ripe,1,1,0
as-moselle-telecom,moselletelecom,"as41272,as42487,as48179",moselle-telecom-mnt,30-10-2008,ripe,3,3,0
as-legacy,as-setipv6,"as203619,as200454,as200952",castro-mnt,11-01-2023,ripe,3,3,0
as-zmm,intercitytechnologyltd-linxas-set,as41244,zmm-ltd,16-09-2017,ripe,1,1,1
as-team-bh,teamconsultingpeer,"as200914,as43179",ava4-mtn,29-12-2021,ripe,2,2,0
as-wataniya-qtel,wataniyaqtellink,"as8781,as29357",wataniya-telecom-mnt,07-04-2010,ripe,2,2,0
as-wind-hellas,asannouncedtopeers,"as197580,as202903,as209111,as16013,as42070,as42473,as6674,as42680,as43834,as42817,as15617,as200314,as208149,as206735,as28969,as212485,as212337,as212498,as212274,as24897,as28953,as-synapsecom,as56910,as-to-upstreams,as48261,as39017,as39481,as51810,as207767,as25472,as30850,as9128,as15439,as39062,as201827,as42680,as206456,as15853,as8499,as206697,as29052,as208829,as50919,as8499,as15544,as44036,as31579,as199375,as204268,as44357,as28953,as208837,as25472,as-to-grix",tellas-mnt,20-02-2023,ripe,54,69,0
as-dyfedit,"voneus,wasdyfedit,waspembswifiltd.","as60036,as-nat,as-treffgarne",voneus-mnt,03-08-2021,ripe,3,5,0
as-magcom,yug-svyaz-service-as,"as31421,as196991,as-timernet",timernet-mnt,09-07-2013,ripe,3,2,1
as-siberian-networks,siberiannetworksas,"as34757,as40995,as41794,as47433",sibset-mnt,08-02-2013,ripe,4,4,0
as-acknowledge,limitedcompanynetcom-r,"as200569,as39371",nl-acknowledge-1-mnt,22-10-2019,ripe,2,2,0
as-uitc,"privatejoint-stockcompany""intertv-channel""","as31360,as-k1tv",uitc-mnt,10-05-2016,ripe,2,4,0
as61297:as-ua,transitcustomers,"as61297,as-ext",parkoviy-mnt,27-03-2018,ripe,2,1,1
